,value
2010-07-17,123.0
2010-07-18,123.73379115330236
2010-07-19,123.63199353665925
2010-07-20,123.50959402140981
2010-07-21,123.59987881236114
2010-07-22,123.05998788123611
2010-07-23,123.26479499091093
2010-07-24,123.101595637245
2010-07-25,123.01999596041205
2010-07-26,123.1310846293678
2010-07-27,123.21187638860836
2010-07-28,123.18965865481721
2010-07-29,123.41183599272874
2010-07-30,123.26641082609574
2010-07-31,123.37043021611795
2010-08-01,123.23409412239951
2010-08-02,123.23409412239951
2010-08-03,123.21187638860836
2010-08-04,123.15128256917794
2010-08-05,123.2320743284185
2010-08-06,123.25833165017168
2010-08-07,123.19167844879823
2010-08-08,123.23005453443749
2010-08-09,123.43405372651989
2010-08-10,123.41385578670975
2010-08-11,123.35326196727934
2010-08-12,123.41385578670975
2010-08-13,123.30276711775399
2010-08-14,123.35326196727934
2010-08-15,123.31872349020401
2010-08-16,123.32296505756413
2010-08-17,123.41385578670975
2010-08-18,123.37345990708948
2010-08-19,123.34720258533629
2010-08-20,123.32296505756412
2010-08-21,123.34114320339324
2010-08-22,123.33306402746919
2010-08-23,123.31104827307615
2010-08-24,123.31286608765906
2010-08-25,123.30882649969703
2010-08-26,123.29266814784891
2010-08-27,123.31286608765906
2010-08-28,123.304786911735
2010-08-29,123.29266814784891
2010-08-30,123.31226014946475
2010-08-31,123.21187638860836
2010-09-01,123.27045041405776
2010-09-02,123.28054938396284
2010-09-03,123.22904463744698
2010-09-04,123.25994748535649
2010-09-05,123.24419309230458
2010-09-06,123.24419309230458
2010-09-07,123.2320743284185
2010-09-08,123.25227226822864
2010-09-09,123.23429610179761
2010-09-10,123.24823268026661
2010-09-11,123.28580084831347
2010-09-12,123.24217329832356
2010-09-13,123.25590789739447
2010-09-14,123.25207028883054
2010-09-15,123.21995556453243
2010-09-16,123.25025247424763
2010-09-17,123.19935366592608
2010-09-18,123.2320743284185
2010-09-19,123.26641082609574
2010-09-20,123.25429206220966
2010-09-21,123.26540092910523
2010-09-22,123.25631185619068
2010-09-23,123.25853362956978
2010-09-24,123.25631185619068
2010-09-25,123.25267622702484
2010-09-26,123.25227226822864
2010-09-27,123.25631185619068
2010-09-28,123.25025247424763
2010-09-29,123.24883861846092
2010-09-30,123.25025247424763
2010-10-01,123.25166633003434
2010-10-02,123.24015350434256
2010-10-03,123.23429610179761
2010-10-04,123.23813371036155
2010-10-05,123.24015350434256
2010-10-06,123.26863259947486
2010-10-07,123.35326196727934
2010-10-08,123.7539890931125
2010-10-09,123.89456675419108
2010-10-10,123.94910119167845
2010-10-11,123.91880428196325
2010-10-12,123.91678448798223
2010-10-13,124.12078368006463
2010-10-14,124.06018986063421
2010-10-15,124.12078368006463
2010-10-16,124.03999192082408
2010-10-17,124.06018986063421
2010-10-18,124.06826903655826
2010-10-19,123.95920016158351
2010-10-20,123.9995960412038
2010-10-21,124.16117955968491
2010-10-22,124.2017774187033
2010-10-23,124.1308826499697
2010-10-24,124.32296505756413
2010-10-25,124.6661280549384
2010-10-26,125.03575035346395
2010-10-27,125.79115330236316
2010-10-28,125.49626338113512
2010-10-29,125.83760856392648
2010-10-30,126.01737022823673
2010-10-31,125.88810341345183
2010-11-01,125.94869723288224
2010-11-02,125.91436073520501
2010-11-03,125.90022217733791
2010-11-04,126.64552615633205
2010-11-05,127.33023631589577
2010-11-06,129.87719652595436
2010-11-07,128.8672995354474
2010-11-08,126.90809937386386
2010-11-09,126.50414057766108
2010-11-10,126.84750555443344
2010-11-11,126.5061603716421
2010-11-12,127.41708745707938
2010-11-13,127.57463138759846
2010-11-14,127.63603312462129
2010-11-15,127.41708745707938
2010-11-16,126.50414057766108
2010-11-17,126.78691173500303
2010-11-18,127.40900828115532
2010-11-19,127.65542314683903
2010-11-20,127.71621894566755
2010-11-21,127.58977984245607
2010-11-22,127.74631387598465
2010-11-23,127.71500706927893
2010-11-24,127.71500706927893
2010-11-25,127.65542314683903
2010-11-26,127.74429408200363
2010-11-27,127.71601696626945
