,value
2019-06-29,123.0
2019-06-30,119.7324662751519
2019-07-01,120.97499012867516
2019-07-02,120.21285728167952
2019-07-03,121.26722033475596
2019-07-04,119.59574694040359
2019-07-05,120.31890365040111
2019-07-06,120.77961753659035
2019-07-07,121.5041646783132
2019-07-08,121.78587494429802
2019-07-09,121.28561875576716
2019-07-10,118.81591716612976
2019-07-11,115.49720334145243
2019-07-12,117.05615728312013
2019-07-13,116.10862990704135
2019-07-14,110.63435906888216
2019-07-15,111.14543113036402
2019-07-16,106.00832106164029
2019-07-17,107.79918702929298
2019-07-18,111.12048610332701
2019-07-19,111.48530916933518
2019-07-20,112.24538489191147
2019-07-21,112.24402179232231
2019-07-22,111.46906136106392
2019-07-23,109.93580111773863
2019-07-24,109.90156189984566
2019-07-25,110.79015885055179
2019-07-26,111.34519184082906
2019-07-27,109.26546229616434
2019-07-28,109.51562378253067
2019-07-29,109.38717313050353
2019-07-30,110.47700758069783
2019-07-31,110.74859150973901
2019-08-01,110.43187712661447
2019-08-02,110.63366392190706
2019-08-03,110.727222381254
2019-08-04,111.29760987276825
2019-08-05,111.86756921731313
2019-08-06,110.35577902371003
2019-08-07,110.10218610569174
2019-08-08,109.67659795393814
2019-08-09,107.57104286304335
2019-08-10,107.18856230992199
2019-08-11,108.49627840321932
2019-08-12,108.05572055623084
2019-08-13,107.25715948029075
2019-08-14,104.13127318359807
2019-08-15,104.60743130303595
2019-08-16,104.10945862226689
2019-08-17,104.17364610991035
2019-08-18,104.92412083705256
2019-08-19,105.53329202813174
2019-08-20,104.83920325112126
2019-08-21,103.78769961007228
2019-08-22,104.32346629209573
2019-08-23,104.90439419364404
2019-08-24,105.29391181215479
2019-08-25,104.17485890058731
2019-08-26,104.93230550001032
2019-08-27,106.15827376072977
2019-08-28,102.45650833704292
2019-08-29,101.36061876288477
2019-08-30,102.0689585327662
2019-08-31,101.92057079664906
2019-09-01,101.68912726505387
2019-09-02,102.51198151168947
2019-09-03,102.44543297780965
2019-09-04,101.94251699537305
2019-09-05,101.46919941568333
2019-09-06,100.93956783717074
2019-09-07,102.04098589718703
2019-09-08,102.30460616741834
2019-09-09,102.68272281363613
2019-09-10,102.02196066106976
2019-09-11,101.76570612348536
2019-09-12,101.71420462261672
2019-09-13,101.56004293409825
2019-09-14,102.4349939221122
2019-09-15,102.42760663112017
2019-09-16,102.55957117047853
2019-09-17,103.44900352393266
2019-09-18,104.77487896543242
2019-09-19,105.33778618700399
2019-09-20,104.93547743448002
2019-09-21,105.12747858446667
2019-09-22,104.61859774056947
2019-09-23,102.67762300700734
2019-09-24,97.44688442582937
2019-09-25,97.97491550477508
2019-09-26,96.81844489892657
2019-09-27,97.4137217467949
2019-09-28,97.47321577117451
2019-09-29,96.68529438321411
2019-09-30,97.84241641513051
2019-10-01,97.5228953728754
2019-10-02,98.29314224125486
2019-10-03,97.99758970022091
2019-10-04,98.52688371027259
2019-10-05,98.42327376266253
2019-10-06,97.77869415484449
2019-10-07,99.42530978196113
2019-10-08,100.4018906302467
2019-10-09,101.35978662938953
2019-10-10,100.82594805257352
2019-10-11,100.30975120089559
2019-10-12,100.58594163299132
2019-10-13,100.8967421101399
2019-10-14,101.33989478886758
2019-10-15,100.5152597222341
2019-10-16,99.29758342507287
2019-10-17,99.81420709650607
2019-10-18,99.36501799896621
2019-10-19,99.2493871048917
2019-10-20,100.470167983656
2019-10-21,100.37037647487459
2019-10-22,99.9221446588254
2019-10-23,98.0490047968955
2019-10-24,98.53677154057299
2019-10-25,101.23606491686924
2019-10-26,100.92794983329519
2019-10-27,101.79897053124316
2019-10-28,101.84861953642542
2019-10-29,126.98431872265746
2019-10-30,126.0446155793018
2019-10-31,126.06852794569481
2019-11-01,126.50102130093495
2019-11-02,127.19857088848718
2019-11-03,127.53491728279232
2019-11-04,128.1189840179821
2019-11-05,128.31137719703358
2019-11-06,128.66446668241002
2019-11-07,128.55108565355442
2019-11-08,127.1218551969573
2019-11-09,127.77952574857449
2019-11-10,128.47534146706047
